,m,r,4,4_alpha
0,0.0,0.0,0.3245,0.5
1,0.0,1.0,0.33399999999999996,0.5
2,0.0,2.0,0.3255,0.5
3,0.0,3.0,0.3315,0.5
4,0.0,4.0,0.3165,0.5
5,0.0,5.0,0.33499999999999996,0.5
6,0.0,6.0,0.32299999999999995,0.5
7,0.0,7.0,0.3345,0.5
8,0.0,8.0,0.3295,0.5
9,0.0,9.0,0.3185,0.5
10,1.0,0.0,0.39049999999999996,0.5
11,1.0,1.0,0.393,0.5
12,1.0,2.0,0.39,0.5
13,1.0,3.0,0.4105,0.5
14,1.0,4.0,0.391,0.5
15,1.0,5.0,0.403,0.5
16,1.0,6.0,0.38849999999999996,0.5
17,1.0,7.0,0.395,0.5
18,1.0,8.0,0.39249999999999996,0.5
19,1.0,9.0,0.396,0.5
20,2.0,0.0,0.356,0.5
21,2.0,1.0,0.364,0.5
22,2.0,2.0,0.36450000000000005,0.5
23,2.0,3.0,0.35350000000000004,0.5
24,2.0,4.0,0.378,0.5
25,2.0,5.0,0.387,0.5
26,2.0,6.0,0.37050000000000005,0.5
27,2.0,7.0,0.37250000000000005,0.5
28,2.0,8.0,0.38849999999999996,0.5
29,2.0,9.0,0.387,0.5
30,3.0,0.0,0.39149999999999996,0.5
31,3.0,1.0,0.39049999999999996,0.5
32,3.0,2.0,0.38049999999999995,0.5
33,3.0,3.0,0.38249999999999995,0.5
34,3.0,4.0,0.40049999999999997,0.5
35,3.0,5.0,0.39349999999999996,0.5
36,3.0,6.0,0.385,0.5
37,3.0,7.0,0.392,0.5
38,3.0,8.0,0.379,0.5
39,3.0,9.0,0.37350000000000005,0.5
40,4.0,0.0,0.39549999999999996,0.5
41,4.0,1.0,0.403,0.5
42,4.0,2.0,0.40449999999999997,0.5
43,4.0,3.0,0.40449999999999997,0.5
44,4.0,4.0,0.402,0.5
45,4.0,5.0,0.4185,0.5
46,4.0,6.0,0.40149999999999997,0.5
47,4.0,7.0,0.40549999999999997,0.5
48,4.0,8.0,0.38749999999999996,0.5
49,4.0,9.0,0.381,0.5
50,5.0,0.0,0.396,0.5
51,5.0,1.0,0.4125,0.5
52,5.0,2.0,0.41100000000000003,0.5
53,5.0,3.0,0.403,0.5
54,5.0,4.0,0.402,0.5
55,5.0,5.0,0.39749999999999996,0.5
56,5.0,6.0,0.39149999999999996,0.5
57,5.0,7.0,0.41100000000000003,0.5
58,5.0,8.0,0.402,0.5
59,5.0,9.0,0.40549999999999997,0.5
60,10.0,0.0,0.4155,0.5
61,10.0,1.0,0.406,0.5
62,10.0,2.0,0.41700000000000004,0.5
63,10.0,3.0,0.4215,0.5
64,10.0,4.0,0.40900000000000003,0.5
65,10.0,5.0,0.4165,0.5
66,10.0,6.0,0.4095,0.5
67,10.0,7.0,0.40700000000000003,0.5
68,10.0,8.0,0.41200000000000003,0.5
69,10.0,9.0,0.4085,0.5
70,20.0,0.0,0.4315,0.5
71,20.0,1.0,0.4285,0.5
72,20.0,2.0,0.43500000000000005,0.5
73,20.0,3.0,0.43700000000000006,0.5
74,20.0,4.0,0.4305,0.5
75,20.0,5.0,0.4345,0.5
76,20.0,6.0,0.43400000000000005,0.5
77,20.0,7.0,0.4385,0.5
78,20.0,8.0,0.4325,0.5
79,20.0,9.0,0.4315,0.5
